EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Ho Chi Minh; Vietnam";Vietnam;Avian Influenza H5N1;Humans;5958630;worldbulletin;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE0DlNGCZplwzePL1LHPOLDiu7VmA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=S35tW9DqNcXP3gHqkbyYAQ&url=http://www.worldbulletin.net/news/204858/bird-flu-kills-one-in-vietnam;10-Aug-2018;Breaking;Relevant;no;;8/26/19 14:58;;;;1;;Google News;106.629784;10.82327;120;52,94
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Poultry (domestic);5958698;thehymalianinsight;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEUXy8PM4PQPzUWHFWGhMMlHiKYYQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ZoxtW6i6BJnq3wGd_5S4Cw&url=https://www.themalaysianinsight.com/s/86605;07-Aug-2018;Breaking;Relevant;yes;239195;8/26/19 14:55;;;2;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Sabbah;Malaysia;Avian Influenza;Poultry (domestic);5960528;new straits times online;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEOrucIBGOaliHyAALA3Ab7NZZvaA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=zc9uW5DrIITa3gH2p5XABg&url=https://www.nst.com.my/news/nation/2018/08/400397/bird-flu-outbreak-sabah-vet-dept-tells-residents-not-hide-fowls;11-Aug-2018;Breaking;Relevant;yes;238793;08/12/2018 22:28;;;;;;Google News;117.131157;5.348619;48;81,18
HealthMap;"Lianyungang; Jiangsu Province; China";China;African Swine Fever;Pigs;5974459;reuters;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF4eKTVcnGw-PK_PC6kK2pC6lk7rQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780009694779&ei=kRV5W_C_JJGY3QHMm5WYDw&url=https://af.reuters.com/article/commoditiesNews/idAFL3N1VA05W;19-Aug-2018;Breaking;Irrelevant;no;;8/26/19 12:03;;;615;88;;Google News;119.159439;34.59972;144;43,53
HealthMap;"Lianyungang; Jiangsu Province; China";China;African Swine Fever;Pigs;5974532;scmp;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEzRJhvwbmCgA_HUQuoKltp6gIISw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780009694779&ei=sTF5W9jZHoiCpwfJtZvoCQ&url=https://www.scmp.com/news/china/society/article/2160373/china-hit-third-africa-swine-fever-outbreak-month;19-Aug-2018;Breaking;Irrelevant;no;;8/22/18 19:24;;;;88;;Google News;119.159439;34.59972;144;43,53
HealthMap;"Lianyungang; Jiangsu Province; China";China;African Swine Fever;Pigs;5976669;pigprogress;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGdFjYOzQ7ibhhmCuTGROdzWBi6lQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780009694779&ei=lNd6W4DrBorG3wH-iY3IDg&url=https://www.pigprogress.net/Health/Articles/2018/8/ASF-continues-to-spread-in-China-3rd-outbreak-323807E/;20-Aug-2018;Breaking;Irrelevant;no;;8/26/19 11:22;;;;;;Google News;119.159439;34.59972;144;43,53
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5977451;twitter;https://twitter.com/FluTrackers/statuses/1031671186915303425;20-Aug-2018;Breaking;Relevant;yes;239439;8/26/19 11:28;;;1;;;Twitter;109.266998;23.700001;195;23,53
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5977602;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFwPc92P1zGWjcUbEqDVTNaZLRMSw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=SHJ7W7iNLYys3wHboYPQAQ&url=http://outbreaknewstoday.com/china-human-h5n6-avian-influenza-case-reported-guangxi-33168/;20-Aug-2018;Breaking;Relevant;yes;239439;8/26/19 11:27;;;1;;;Google News;109.266998;23.700001;195;23,53
HealthMap;"Lianyungang; Jiangsu Province; China";China;African Swine Fever;Pigs;5978023;thepigsite;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGEzbNk5k6vW3abPt960BR7meEMsw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780013092869&ei=5v57W4DtL5nq3wGd_5S4Cw&url=http://www.thepigsite.com/swinenews/45270/chinas-pig-herd-suffers-third-asf-outbreak;21-Aug-2018;Breaking;Irrelevant;no;;8/26/19 11:23;;;615;88;;Google News;119.159439;34.59972;144;43,53
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5978214;twitter;https://twitter.com/crof/statuses/1031912852058202112;21-Aug-2018;Breaking;Relevant;no;;8/26/19 11:19;;;1;;;Twitter;109.266998;23.700001;195;23,53
